Date,Meal,Brand,Flavor,Type,Initial Temperature,Microwaved,Added Water,Immediate % Eaten,Total % Eaten,Notes
11/10/2023,Dinner,Friskies,Mixed Grill,Pate,Room,TRUE,FALSE,15%,,
11/11/2023,Lunch,Friskies,Mixed Grill,Pate,,FALSE,FALSE,35%,,
11/12/2023,Dinner,Friskies,Mixed Grill,Pate,,FALSE,FALSE,,60%,
11/12/2023,Lunch,Friskies,Mixed Grill,Pate,Cold,TRUE,FALSE,20%,,
11/13/2023,Lunch,Friskies,Turkey & Giblets,Pate,Cold,TRUE,FALSE,20%,50%,
11/13/2023,Dinner,Friskies,Salmon,Pate,Room,TRUE,FALSE,90%,100%,She was very hungry before eating
11/14/2023,Lunch,Friskies,Salmon,Pate,Cold,TRUE,FALSE,50%,90%,
11/14/2023,Dinner,Friskies,Mixed Grill,Pate,Room,TRUE,FALSE,15%,,
11/17/2023,Dinner,Friskies,Mariner's Catch,Pate,Room,FALSE,FALSE,15%,100%,
11/18/2023,Lunch,Friskies,Mariner's Catch,Pate,Room,TRUE,FALSE,15%,50%,
11/18/2023,Dinner,Friskies,Turkey,Prime Filets,Room,FALSE,FALSE,50%,95%,
11/19/2023,Lunch,Friskies,Turkey,Prime Filets,Cold,TRUE,FALSE,45%,,
11/21/2023,Dinner,Friskies,Chicken & Tuna,Prime Filets,Room,TRUE,FALSE,30%,,
12/15/2023,Dinner,Friskies,Salmon,Pate,Room,TRUE,FALSE,35%,65%,I was told by C2 that she hadn't eaten much the last few days. I also played with her beforehand and used a clean dish to serve her food
12/16/2023,Lunch,Friskies,Mixed Grill,Pate,Cold,TRUE,FALSE,10%,10%,Played with her beforehand
12/16/2023,Dinner,Friskies,Turkey & Giblets,Pate,Room,FALSE,FALSE,20%,70%,
12/17/2023,Lunch,Friskies,Salmon,Pate,Cold,TRUE,TRUE,25%,40%,Played with her beforehand. Added a small amount of water that mixed into the food
12/17/2023,Dinner,Friskies,Turkey & Giblets,Pate,Cold,TRUE,TRUE,5%,85%,Didn't look like she ate any of it at first. I stirred it up and microwaved it and she ate a little bit
12/18/2023,Lunch,Friskies,Turkey & Giblets,Pate,Room,FALSE,TRUE,10%,35%,Charles added a bit of water before serving her food
12/18/2023,Dinner,Friskies,Salmon,Pate,Room,FALSE,FALSE,10%,85%,Played for 6 minutes beforehand
12/29/2023,Lunch,Friskies,,,,FALSE,FALSE,,90%,
12/29/2023,Dinner,Blue Wilderness,Chicken,Pate,Room,FALSE,FALSE,25%,35%,
12/30/2023,Lunch,Open Nature,Grain Free Salmon,Shreds,Room,FALSE,FALSE,75%,100%,
12/30/2023,Dinner,Friskies,Turkey & Giblets,Pate,Cold,TRUE,FALSE,15%,,
12/31/2023,,,,,,FALSE,FALSE,,,
12/31/2023,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
,,,,,,FALSE,FALSE,,,
